new_who_as_id,file_name,old_who,new_who,old_parliamentary_group,new_parliamentary_group,old_role,new_role,old_position,new_position,additional_whitespace,changed_name,changed_parliamentary_group,changed_role,changed_position,substatial_modification
Miessner,BT_01_007.xml,Mießner,Miessner,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_007.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_011.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hannover),BT_01_011.xml,"Müller, Kurt",Müller (Hannover),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_012.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_012.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_019.xml,"Müller, Oskar",Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmidt (Bayern),BT_01_022.xml,Wilhelm Schmidt ,Schmidt (Bayern),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Oellers,BT_01_024.xml,Oellers ,Oellers,FPD,FDP,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_027.xml,Oskar Willer ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hannover),BT_01_028.xml,Kurt Müller ,Müller (Hannover),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_033.xml,Oskar Müller ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Paul (Württemberg),BT_01_033.xml,Paul (Württemberg). ,Paul (Württemberg),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_033.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Meyer (Hagen),BT_01_033.xml,Meyer (Westfalen) ,Meyer (Hagen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Hoffmann (Schönau),BT_01_040.xml,Hoffmann ,Hoffmann (Schönau),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schmid,BT_01_044.xml,Sc,Schmid,-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_047.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_048.xml,Oskar Müller ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_049.xml,Heinrich Müller (Usingen) ,Müller (Hessen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Hessen),BT_01_049.xml,Heinrich Müller (Usjngen) ,Müller (Hessen),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_050.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Clausen,BT_01_051.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_061.xml,Müller (Offenbach) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Müller (Frankfurt),BT_01_065.xml,Müller (Hessen) ,Müller (Frankfurt),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Clausen,BT_01_068.xml,Clausen ,Clausen,SSW,fraktionslos,-,-,-,-,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Hoffmann (Schönau),BT_01_079.xml,Hoffmann ,Hoffmann (Schönau),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Schröder (Düsseldorf),BT_01_080.xml,Schrader (Düsseldorf) ,Schröder (Düsseldorf),-,-,-,-,-,-,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
